PLANE	DESCRIPTION	START	END	STARTDEC	ENDDEC	BLOCK	POINTS	ASSIGNED	SCRIPTS
0	Basic Multilingual Plane	HX  FE50	HX  FE6F	65104	65135	Small Form Variants 	32	26	Common
0	Basic Multilingual Plane	HX  FE70	HX  FEFF	65136	65279	Arabic Presentation Forms-B 	144	141	Arabic (140 characters), Common (1 character)
0	Basic Multilingual Plane	HX  FF00	HX  FFEF	65280	65519	Halfwidth and Fullwidth Forms 	240	225	Hangul (52 characters), Katakana (55 characters), Latin (52 characters), Common (66 characters)
0	Basic Multilingual Plane	HX  FFF0	HX  FFFF	65520	65535	Specials 	16	5	Common
1	Supplementary Multilingual Plane	HX  10000	HX  1007F	65536	65663	Linear B Syllabary 	128	88	Linear B
1	Supplementary Multilingual Plane	HX  10080	HX  100FF	65664	65791	Linear B Ideograms 	128	123	Linear B
1	Supplementary Multilingual Plane	HX  10100	HX  1013F	65792	65855	Aegean Numbers 	64	57	Common
1	Supplementary Multilingual Plane	HX  10140	HX  1018F	65856	65935	Ancient Greek Numbers 	80	79	Greek
1	Supplementary Multilingual Plane	HX  10190	HX  101CF	65936	65999	Ancient Symbols 	64	13	Greek (1 character), Common (12 characters)
1	Supplementary Multilingual Plane	HX  101D0	HX  101FF	66000	66047	Phaistos Disc 	48	46	Common (45 characters), Inherited (1 character)
1	Supplementary Multilingual Plane	HX  10280	HX  1029F	66176	66207	Lycian 	32	29	Lycian
1	Supplementary Multilingual Plane	HX  102A0	HX  102DF	66208	66271	Carian 	64	49	Carian
1	Supplementary Multilingual Plane	HX  102E0	HX  102FF	66272	66303	Coptic Epact Numbers 	32	28	Common (27 characters), Inherited (1 character)
1	Supplementary Multilingual Plane	HX  10300	HX  1032F	66304	66351	Old Italic 	48	39	Old Italic
1	Supplementary Multilingual Plane	HX  10330	HX  1034F	66352	66383	Gothic 	32	27	Gothic
1	Supplementary Multilingual Plane	HX  10350	HX  1037F	66384	66431	Old Permic 	48	43	Old Permic
1	Supplementary Multilingual Plane	HX  10380	HX  1039F	66432	66463	Ugaritic 	32	31	Ugaritic
1	Supplementary Multilingual Plane	HX  103A0	HX  103DF	66464	66527	Old Persian 	64	50	Old Persian
1	Supplementary Multilingual Plane	HX  10400	HX  1044F	66560	66639	Deseret 	80	80	Deseret
1	Supplementary Multilingual Plane	HX  10450	HX  1047F	66640	66687	Shavian 	48	48	Shavian
1	Supplementary Multilingual Plane	HX  10480	HX  104AF	66688	66735	Osmanya 	48	40	Osmanya
1	Supplementary Multilingual Plane	HX  104B0	HX  104FF	66736	66815	Osage 	80	72	Osage
1	Supplementary Multilingual Plane	HX  10500	HX  1052F	66816	66863	Elbasan 	48	40	Elbasan
1	Supplementary Multilingual Plane	HX  10530	HX  1056F	66864	66927	Caucasian Albanian 	64	53	Caucasian Albanian
1	Supplementary Multilingual Plane	HX  10600	HX  1077F	67072	67455	Linear A 	384	341	Linear A
1	Supplementary Multilingual Plane	HX  10800	HX  1083F	67584	67647	Cypriot Syllabary 	64	55	Cypriot
1	Supplementary Multilingual Plane	HX  10840	HX  1085F	67648	67679	Imperial Aramaic 	32	31	Imperial Aramaic
1	Supplementary Multilingual Plane	HX  10860	HX  1087F	67680	67711	Palmyrene 	32	32	Palmyrene
1	Supplementary Multilingual Plane	HX  10880	HX  108AF	67712	67759	Nabataean 	48	40	Nabataean
1	Supplementary Multilingual Plane	HX  108E0	HX  108FF	67808	67839	Hatran 	32	26	Hatran
1	Supplementary Multilingual Plane	HX  10900	HX  1091F	67840	67871	Phoenician 	32	29	Phoenician
1	Supplementary Multilingual Plane	HX  10920	HX  1093F	67872	67903	Lydian 	32	27	Lydian
1	Supplementary Multilingual Plane	HX  10980	HX  1099F	67968	67999	Meroitic Hieroglyphs 	32	32	Meroitic Hieroglyphs
1	Supplementary Multilingual Plane	HX  109A0	HX  109FF	68000	68095	Meroitic Cursive 	96	90	Meroitic Cursive
1	Supplementary Multilingual Plane	HX  10A00	HX  10A5F	68096	68191	Kharoshthi 	96	65	Kharoshthi
1	Supplementary Multilingual Plane	HX  10A60	HX  10A7F	68192	68223	Old South Arabian 	32	32	Old South Arabian
1	Supplementary Multilingual Plane	HX  10A80	HX  10A9F	68224	68255	Old North Arabian 	32	32	Old North Arabian
1	Supplementary Multilingual Plane	HX  10AC0	HX  10AFF	68288	68351	Manichaean 	64	51	Manichaean
1	Supplementary Multilingual Plane	HX  10B00	HX  10B3F	68352	68415	Avestan 	64	61	Avestan
1	Supplementary Multilingual Plane	HX  10B40	HX  10B5F	68416	68447	Inscriptional Parthian 	32	30	Inscriptional Parthian
1	Supplementary Multilingual Plane	HX  10B60	HX  10B7F	68448	68479	Inscriptional Pahlavi 	32	27	Inscriptional Pahlavi
1	Supplementary Multilingual Plane	HX  10B80	HX  10BAF	68480	68527	Psalter Pahlavi 	48	29	Psalter Pahlavi
1	Supplementary Multilingual Plane	HX  10C00	HX  10C4F	68608	68687	Old Turkic 	80	73	Old Turkic
