BIBLE	MAP
Holy-Bible---English---Orthodox-Jewish-Bible	HOS11-12
Holy-Bible---English---Orthodox-Jewish-Bible	HOS13-14
Holy-Bible---English---Orthodox-Jewish-Bible	JON1-2
Holy-Bible---English---Orthodox-Jewish-Bible	MIC4-5
Holy-Bible---English---Orthodox-Jewish-Bible	NAH1-2
Holy-Bible---English---Orthodox-Jewish-Bible	ZEC1-2
Holy-Bible---English---Orthodox-Jewish-Bible	MAL3-4
Holy-Bible---English---Revised-Version	NONE
Holy-Bible---English---Rotherham-Bible	NONE
Holy-Bible---English---STEPBible-Amalgamant	NONE
Holy-Bible---English---STEPBible-Concordant	NONE
Holy-Bible---English---Syriac-Peshitta-Etheridge	NONE
Holy-Bible---English---Syriac-Peshitta-Murdock	NONE
Holy-Bible---English---Text-Critical	ROM14-16
Holy-Bible---English---Trans-Trans	NONE
Holy-Bible---English---Twentieth-Century-NT	NONE
Holy-Bible---English---Tyndale-Bible	NONE
Holy-Bible---English---Unlocked-Literal-Bible	NONE
Holy-Bible---English---Webster-Bible	NONE
Holy-Bible---English---Webster-Bible-Revised	NONE
Holy-Bible---English---Weymouth-NT	NONE
Holy-Bible---English---World-English-Bible	ROM14-16
Holy-Bible---English---World-English-Bible-British-Edition	ROM14-16
Holy-Bible---English---World-English-Bible-Updated	ROM14-16
Holy-Bible---English---World-Messianic-Bible	ROM14-16
Holy-Bible---English---World-Messianic-Bible-British-Edition	ROM14-16
Holy-Bible---English---Worsley-Bible	NONE
Holy-Bible---English---Wycliffe-Bible	EXO40
Holy-Bible---English---Wycliffe-Bible	LEV15
Holy-Bible---English---Wycliffe-Bible	NUM12-13
Holy-Bible---English---Wycliffe-Bible	JOS21
Holy-Bible---English---Wycliffe-Bible	1SA23-24
Holy-Bible---English---Wycliffe-Bible	JOB39-40-41-42
Holy-Bible---English---Wycliffe-Bible	PSA150
Holy-Bible---English---Wycliffe-Bible	ECC4-5
Holy-Bible---English---Wycliffe-Bible	ECC6-7
Holy-Bible---English---Wycliffe-Bible	SOL5-6
Holy-Bible---English---Wycliffe-Bible	DAN100
Holy-Bible---English---Wycliffe-Bible	HOS13-14
Holy-Bible---English---Wycliffe-Bible	JON1-2
Holy-Bible---English---Wycliffe-Bible	HAG1-2
Holy-Bible---English---Wycliffe-Bible	MAR8-9
Holy-Bible---English---Youngs-Literal-Translation	NONE
Holy-Bible---Esperanto---Esperanto-Bible	NONE
Holy-Bible---Estonian---Contemporary	NONE
Holy-Bible---Estonian---For-All	NONE
Holy-Bible---Etulo---Etulo-Bible	NONE
Holy-Bible---Ewe---Word-of-Life	NONE
Holy-Bible---Falam---Falam-Chin-Bible	NONE
Holy-Bible---Finnish---Finnish-Bible	NONE
Holy-Bible---Finnish---Finnish-Pyha-Raamattu	NONE
Holy-Bible---Finnish---Open-Living-News	NONE
Holy-Bible---Flemish---Flemish-De-Jonge-Bible	JOH7-8
Holy-Bible---French---Bonnet-Bovet-Bible	NUM12-13
Holy-Bible---French---Bonnet-Bovet-Bible	NUM29-30
Holy-Bible---French---Bonnet-Bovet-Bible	DEU22-23
Holy-Bible---French---Bonnet-Bovet-Bible	1SA23-24
Holy-Bible---French---Bonnet-Bovet-Bible	JOB38-39-40-41
Holy-Bible---French---Bonnet-Bovet-Bible	ECC11-12
Holy-Bible---French---Bonnet-Bovet-Bible	ISA8-9
Holy-Bible---French---Bonnet-Bovet-Bible	EZE20-21
Holy-Bible---French---Bonnet-Bovet-Bible	HOS11-12
Holy-Bible---French---Bonnet-Bovet-Bible	JON1-2
Holy-Bible---French---Bonnet-Bovet-Bible	MIC4-5
Holy-Bible---French---Free-for-the-World	ROM14-16
Holy-Bible---French---French-Crampon-Bible	GEN31-32
Holy-Bible---French---French-Crampon-Bible	EXO7-8
Holy-Bible---French---French-Crampon-Bible	EXO21-22
Holy-Bible---French---French-Crampon-Bible	LEV5-6
Holy-Bible---French---French-Crampon-Bible	NUM16-17
Holy-Bible---French---French-Crampon-Bible	NUM29-30
Holy-Bible---French---French-Crampon-Bible	DEU12-13
Holy-Bible---French---French-Crampon-Bible	DEU22-23
Holy-Bible---French---French-Crampon-Bible	DEU28-29
Holy-Bible---French---French-Crampon-Bible	1SA20-21
Holy-Bible---French---French-Crampon-Bible	1SA23-24
Holy-Bible---French---French-Crampon-Bible	2SA18-19
Holy-Bible---French---French-Crampon-Bible	1KI4-5
Holy-Bible---French---French-Crampon-Bible	2KI11-12
Holy-Bible---French---French-Crampon-Bible	1CH5-6
Holy-Bible---French---French-Crampon-Bible	2CH1-2
Holy-Bible---French---French-Crampon-Bible	2CH13-14
Holy-Bible---French---French-Crampon-Bible	NEH3-4
Holy-Bible---French---French-Crampon-Bible	NEH9-10
Holy-Bible---French---French-Crampon-Bible	JOB40-41
Holy-Bible---French---French-Crampon-Bible	ECC4-5
Holy-Bible---French---French-Crampon-Bible	SOL6-7
Holy-Bible---French---French-Crampon-Bible	ISA8-9
Holy-Bible---French---French-Crampon-Bible	ISA63-64
Holy-Bible---French---French-Crampon-Bible	JER8-9
Holy-Bible---French---French-Crampon-Bible	EZE20-21
Holy-Bible---French---French-Crampon-Bible	DAN5-6
Holy-Bible---French---French-Crampon-Bible	DAN100
Holy-Bible---French---French-Crampon-Bible	HOS1-2
Holy-Bible---French---French-Crampon-Bible	HOS11-12
Holy-Bible---French---French-Crampon-Bible	HOS13-14
Holy-Bible---French---French-Crampon-Bible	JOE2-3
Holy-Bible---French---French-Crampon-Bible	JON1-2
Holy-Bible---French---French-Crampon-Bible	MIC4-5
