# File Name: UNTRANSLATECOUNT.txt
# File Size: 53448       
# File Date: 01/01/2026 19:06:43
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	HELL_ALL	HELL_OUT	SHEOL	GEHENNA	ELEESE	HADES	ABYSS	TARTARUS	LOF	AION	AIONIAN	AION-2	AIDIOS	AION_OUT	CUSTOM	OUT	IN	VERSE_DO	VERSE_OK	VERSE_SK	VERSE_NO	VERSE_ER	VERSE_CK
Holy-Bible---Slovene---Slovene-Stritarja-NT	0	0	15	12	1	11	9	1	5	94	63	10	2	0	1	0	223	216	215	0	49	0	1
Holy-Bible---Soli---Soli-Bible	0	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Somali---Somali-Bible	0	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Somau-Karia---Somau-Karia-Bible	0	0	0	1	0	4	1	0	0	21	15	2	0	0	1	0	44	43	42	1	221	0	1
Holy-Bible---Spanish---Biblia-Platense-Straubinger	70	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Spanish---Free-Bible	17	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Spanish---Free-for-the-World	27	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Spanish---Gods-Word-for-You	44	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Spanish---Reina-Valera-1865	74	0	64	12	1	11	9	1	5	94	63	10	2	0	1	0	272	265	264	0	0	0	1
Holy-Bible---Spanish---Reina-Valera-1909	73	1	64	12	1	11	9	1	5	94	63	10	2	0	1	1	272	265	264	0	0	0	1
Holy-Bible---Spanish---Reina-Valera-NT-1858	36	0	0	12	1	11	9	1	5	94	63	10	2	0	1	0	208	201	200	0	64	0	1
Holy-Bible---Spanish---Sagradas-Escrituras-1569	69	1	64	12	1	11	9	1	5	94	63	10	2	0	1	1	272	265	264	0	0	0	1
Holy-Bible---Spanish---Sencillo-Bible	50	1	64	12	1	11	9	1	5	94	63	10	2	0	1	1	272	265	264	0	0	0	1
Holy-Bible---Spanish---Spanish-New-Open-Bible	58	4	64	12	1	11	9	1	5	94	62	10	2	0	4	4	271	263	259	5	0	0	4
Holy-Bible---Swahili---Contemporary	41	3	64	12	1	11	9	1	5	94	63	10	2	0	0	3	272	264	264	0	0	0	0
Holy-Bible---Swahili---New-Swahili-Bible	59	0	64	12	1	11	9	1	5	94	63	10	2	0	0	0	272	264	264	0	0	0	0
Holy-Bible---Swahili---Swahili-Bible	21	2	0	12	1	11	9	1	5	93	63	10	2	0	0	2	207	199	199	1	64	0	0
